广东,1349
河南,1273
浙江,1217
湖南,1018
安徽,990
江西,936
山东,756
江苏,631
重庆,576
四川,538
黑龙江,480
北京,413
上海,337
河北,318
福建,296
广西,252
陕西,245
云南,175
海南,168
贵州,146
天津,136
山西,133
辽宁,122
吉林,93
甘肃,91
新疆,76
内蒙古,75
宁夏,73
青海,18
西藏,1
