,湖北,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
2月2日,10505.93,272.89,96.67,105.99,40.61,279.87,89.73,61.78,49.19,105.12,679.68,32.68,421.81,21.11,181.4,251.68,38.34,22.03,8.95,6.42,127.99,67.55,86.74,81.23,147.39,16.9,1.74,22.49,63.5,130.79,148.5
2月3日,10811.55,276.23,97.11,106.53,41.12,283.41,90.27,61.98,49.19,105.96,684.3,33.08,426.26,21.32,183.59,254.07,38.47,22.27,9.09,6.42,128.63,68.19,87.82,81.46,148.47,17,1.74,22.63,63.83,132,149.2
2月4日,11126.16,278.37,97.63,106.94,41.32,286.41,90.45,62.29,49.26,106.76,689.61,33.12,430.51,21.59,185.22,256.25,38.78,22.89,9.09,6.46,130.01,68.5,88.2,81.88,149.4,17.28,1.74,22.84,64.15,132.9,150
2月5日,11498.78,280.68,98.58,107.42,41.76,289.44,90.88,62.73,49.38,107.32,693.68,33.4,434.22,21.79,186.37,258.24,39.14,23.05,9.09,6.46,130.73,68.86,88.8,82.31,149.8,17.4,1.74,22.91,64.42,133.78,150.8
2月6日,11832.07,282.5,99.08,107.78,41.8,291.12,91.2,62.98,49.41,107.92,697.78,33.57,437.6,22.04,187.72,259.74,39.42,23.19,9.16,6.46,131.9,69.04,89.23,83.1,150.12,17.54,1.74,23.16,64.57,134.81,151.72
2月7日,12212.4,284.91,99.41,108.31,41.92,293.69,91.78,63.18,49.54,108.82,703.13,33.74,443.32,22.37,189.07,261.13,39.71,23.52,9.28,6.5,132.96,69.21,89.8,83.67,150.89,17.66,1.78,23.33,64.73,135.67,152.5
2月8日,12558.58,286.8,99.93,108.53,42.07,296.03,92,63.55,49.61,109.49,707.59,33.85,448.67,22.41,191.3,262.8,39.86,23.55,9.28,6.54,133.74,69.28,90.02,83.89,151.34,17.85,1.78,23.4,64.92,136.37,153.24
2月9日,12836.76,287.96,100.55,108.8,42.16,298.44,92.27,63.88,49.67,109.97,711.55,34.03,452.33,22.5,192.31,264.02,40.16,23.67,9.28,6.57,134.28,69.37,90.47,84.25,151.76,17.94,1.78,23.43,65.01,136.7,153.96
2月10日,13104.69,289.7,100.96,109.21,42.3,300.76,92.59,63.97,49.76,110.37,715.67,34.26,456.8,22.7,193.53,265.06,40.42,23.82,9.28,6.57,134.86,69.86,91.08,84.69,152.42,18.14,1.78,23.58,65.12,136.99,154.54
2月11日,13388.19,291.38,101.72,109.39,42.42,302.66,92.86,64.15,49.82,110.65,720.3,34.26,461.65,22.76,194.9,266.34,40.69,24.12,9.28,6.6,135.5,69.98,91.35,84.96,152.82,18.26,1.78,23.67,65.18,137.18,155.27
2月12日,13748.86,293.45,102.42,109.86,42.66,305.07,93.41,64.5,49.86,111.23,724.48,34.45,469.56,22.8,196.66,268.37,40.97,24.2,9.32,6.6,136.2,70.26,91.9,85.54,153.29,18.42,1.78,23.82,65.34,137.92,156.28
2月13日,14087.63,296.43,102.84,110.12,42.77,307,93.82,64.84,49.93,111.68,731.81,34.61,476.52,22.91,198.1,269.51,41.5,24.43,9.4,6.6,137.64,78.5,92.39,86.26,154.31,18.64,1.82,23.82,65.45,138.33,157.34
2月14日,14376.7,299.24,104.34,110.56,42.87,309.54,93.92,64.98,49.97,112.69,738.32,34.74,482.06,23.05,199.57,270.71,41.93,24.63,9.43,6.6,139.11,93.03,93.02,86.53,155.51,18.71,1.85,23.86,65.62,138.87,158.64
2月15日,14655.89,301.33,105.69,111.11,43.06,312.09,94.45,65.16,50.03,113.42,743.6,34.95,487.65,23.2,200.49,272.3,42.14,24.78,9.65,6.6,139.97,93.18,93.48,87.05,156.43,18.89,1.85,23.92,65.86,139.33,159.5
2月16日,14954.67,303.23,106.68,111.54,43.19,314.58,94.94,66.47,50.09,114.05,750.69,35.05,491.49,23.23,201.21,273.94,42.31,24.94,9.65,6.63,140.62,93.74,94.93,87.58,157.29,19.65,1.85,24.02,65.96,140.08,160.32
2月17日,15347.7,306.47,107.76,111.97,43.45,318.34,95.2,67.21,50.18,115.13,756.13,35.27,496.76,23.32,202.94,276.45,42.87,25.03,9.69,6.63,141.36,98.96,95.75,88.01,158.45,20.21,1.9,24.19,66.22,140.6,161.79
2月18日,15678.75,309.33,108.37,112.4,43.48,321.85,96.1,67.42,50.36,115.89,760.98,35.3,502.84,23.43,205.07,278.15,43.34,25.1,9.8,6.63,142.7,99.15,96.04,88.84,159.07,20.61,1.9,24.37,66.22,141.43,162.52
2月19日,16069.26,311.32,108.84,112.91,43.57,325.15,96.44,67.72,50.57,116.61,766.86,35.52,509.1,23.64,207.48,280.14,43.55,25.31,9.84,6.63,144.09,99.44,96.84,89.56,159.7,20.65,1.9,24.41,66.52,142.66,163.62
2月20日,16388.48,313.01,109.32,113.57,43.81,327.85,97.17,68.2,50.64,117.09,771.84,35.79,513.15,23.71,209.01,282.25,44,25.52,9.87,6.66,145.24,99.51,97.26,90.22,160.08,20.75,1.9,24.45,66.8,143.77,164.34
2月21日,16738.89,315.49,110.01,114.14,43.89,330.93,97.62,68.32,50.68,117.93,778.02,35.87,517.76,23.75,210.19,284.35,44.57,25.79,9.87,6.7,146.19,99.55,98.25,91.28,160.84,21.14,1.9,24.52,67.06,145.21,165.14
2月22日,17038.2,318.33,110.77,114.77,44.05,333.54,98.15,68.65,50.78,118.46,783.69,35.94,523.47,23.94,211.84,286.19,44.9,26.02,9.87,6.7,147.44,99.71,98.61,92.04,161.31,21.4,1.93,24.69,67.29,146.43,166.3
2月23日,17337.76,321.09,111,115.26,44.15,337.5,98.72,68.98,50.81,119.29,788.79,36.13,529.1,24.04,213.73,289.09,45.17,26.05,10.11,6.73,148.74,100.05,99.24,93.28,162.44,21.8,1.93,24.72,67.69,147.13,167.3
2月24日,17684.09,323.61,112.09,116.04,44.19,343.17,99.61,69.41,50.89,120.1,794.88,36.41,537.71,24.08,217.03,291.92,45.75,26.48,10.15,6.77,149.63,100.28,99.9,94.05,163.25,22.07,1.93,24.8,68.2,148.18,168.54
2月25日,18106.58,327.68,112.84,116.66,44.47,350.31,100.65,69.98,51.03,120.96,803.63,36.5,546.7,24.18,220.91,294.86,46.56,27.05,10.24,6.77,151.29,100.61,100.85,94.9,164.06,22.4,1.98,24.94,68.39,150.03,169.58
2月26日,18456.83,331.07,113.78,117.59,44.59,354.59,101.51,70.68,51.11,121.97,809.58,36.58,552.96,24.22,224.02,297.46,47.26,27.16,10.24,6.85,151.83,100.88,102.05,95.72,164.87,22.75,1.98,25.02,68.66,151.62,170.59
2月27日,18825.53,334.81,114.55,118.53,44.83,358.5,102.12,71.04,51.11,122.54,815.6,36.86,559.23,24.5,226.38,300.6,47.87,27.53,10.24,6.89,153.42,101.45,102.79,96.45,165.65,23,1.98,25.1,68.74,152.88,171.49
2月28日,19141.72,337.27,115.14,119.25,44.94,361.55,102.88,71.28,51.21,123.13,821.02,36.93,565.06,24.67,228.12,303.41,48.14,27.6,10.34,6.89,154.18,101.9,103.48,97.01,166.17,23.03,1.98,25.21,69.09,153.58,172.46
2月29日,19446.54,340.87,115.58,119.69,45.17,364.61,103.28,71.59,51.45,123.97,826.29,37.03,570.67,24.98,229.83,305.73,48.82,27.9,10.41,6.89,154.65,102.11,103.92,97.85,166.6,23.33,2.04,25.21,69.39,154.52,173.2
