time,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,湖北(包括武汉),武汉,湖北(非武汉)
2020.2.20,1,1,1,1,0,0,0,3,1,0,28,1,0,0,202,2,1,1,1,0,7,5,0,2,0,0,0,0,0,0,631,319,312
2020.2.21,3,2,1,0,0,0,0,0,0,0,2,1,0,0,2,3,2,6,3,0,5,1,0,0,0,0,0,0,0,0,366,314,52
2020.2.22,0,2,2,0,0,0,0,1,1,0,0,0,0,0,4,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,630,541,89
2020.2.23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,2,0,2,1,0,0,0,0,0,0,0,0,398,348,50
2020.2.24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,499,464,35
2020.2.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,401,370,31
2020.2.26,10,0,5,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,409,383,26
2020.2.27,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,318,313,5
2020.2.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,423,420,3
2020.2.29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,565,5
